"Herbivore, xylophagus","Herbivore, folivorous","Herbivore, nectarivorous/palnyvorous","Herbivore, phytosuccivorous","Herbivore, algivorous","Herbivore, frugivore","Herbivore, radicivorous","Herbivore, granivorous","Carnivore, parasitoid","Carnivore, entomophagous","Carnivore, parasitic","Decomposer, saprophytic","Decomposer, detrivorous","Fungivore, fungivorous"
Macarthur,Pritchardia,Gossypium,tomentosum,,,,,,,,,,
palm,sp,tomentosum,Macarthur,,,,,,,,,,
Ptychosperma,ma,Macarthur,palm,,,,,,,,,,
macarthurii,o,palm,Ptychosperma,,,,,,,,,,
mahogany,Hawaiian,Ptychosperma,macarthurii,,,,,,,,,,
Swietenia,cotton,macarthurii,mahogany,,,,,,,,,,
mahagoni,Gossypium,mahogany,Swietenia,,,,,,,,,,
mahogany,tomentosum,Swietenia,mahagoni,,,,,,,,,,
broad,Macarthur,mahagoni,mahogany,,,,,,,,,,
leaved,palm,mahogany,broad,,,,,,,,,,
Swietenia,Ptychosperma,broad,leaved,,,,,,,,,,
macrophylla,macarthurii,leaved,Swietenia,,,,,,,,,,
makai,mahogany,Swietenia,macrophylla,,,,,,,,,,
Scirpus,Swietenia,macrophylla,makai,,,,,,,,,,
maritimus,mahagoni,makai,Scirpus,,,,,,,,,,
var,mahogany,Scirpus,maritimus,,,,,,,,,,
paludosus,broad,maritimus,var,,,,,,,,,,
mamane,leaved,var,paludosus,,,,,,,,,,
Sophora,Swietenia,paludosus,mamane,,,,,,,,,,
chrysophylla,macrophylla,mamane,Sophora,,,,,,,,,,
manele,makai,Sophora,chrysophylla,,,,,,,,,,
soapberry,Scirpus,chrysophylla,manele,,,,,,,,,,
Sapindus,maritimus,manele,soapberry,,,,,,,,,,
saponaria,var,soapberry,Sapindus,,,,,,,,,,
mangium,paludosus,Sapindus,saponaria,,,,,,,,,,
Acacia,mamane,saponaria,mangium,,,,,,,,,,
mangium,Sophora,mangium,Acacia,,,,,,,,,,
mango,chrysophylla,Acacia,mangium,,,,,,,,,,
kangit,manele,mangium,mango,,,,,,,,,,
idele,soapberry,mango,kangit,,,,,,,,,,
mago,Sapindus,kangit,idele,,,,,,,,,,
mangueira,saponaria,idele,mago,,,,,,,,,,
Magnifera,mangium,mago,mangueira,,,,,,,,,,
indica,Acacia,mangueira,Magnifera,,,,,,,,,,
mau,mangium,Magnifera,indica,,,,,,,,,,
u,mango,indica,mau,,,,,,,,,,
laiki,kangit,mau,u,,,,,,,,,,
ricegrass,idele,u,laiki,,,,,,,,,,
Paspalum,mago,laiki,ricegrass,,,,,,,,,,
orbiculare,mangueira,ricegrass,Paspalum,,,,,,,,,,
milo,Magnifera,Paspalum,orbiculare,,,,,,,,,,
binalo,indica,orbiculare,milo,,,,,,,,,,
banalo,mau,milo,binalo,,,,,,,,,,
rosewood,u,binalo,banalo,,,,,,,,,,
Thespesia,laiki,banalo,rosewood,,,,,,,,,,
populnea,ricegrass,rosewood,Thespesia,,,,,,,,,,
badrirt,Paspalum,Thespesia,populnea,,,,,,,,,,
kilulo,orbiculare,populnea,badrirt,,,,,,,,,,
panu,milo,badrirt,kilulo,,,,,,,,,,
polo,binalo,kilulo,panu,,,,,,,,,,
pone,banalo,panu,polo,,,,,,,,,,
bangbeng,rosewood,polo,pone,,,,,,,,,,
monkeypod,Thespesia,pone,bangbeng,,,,,,,,,,
filinganga,populnea,bangbeng,monkeypod,,,,,,,,,,
gumorni,badrirt,monkeypod,filinganga,,,,,,,,,,
tamalini,kilulo,filinganga,gumorni,,,,,,,,,,
trongkonmames,panu,gumorni,tamalini,,,,,,,,,,
Samanea,polo,tamalini,trongkonmames,,,,,,,,,,
saman,pone,trongkonmames,Samanea,,,,,,,,,,
syn,bangbeng,Samanea,saman,,,,,,,,,,
Albizia,monkeypod,saman,syn,,,,,,,,,,
saman,filinganga,syn,Albizia,,,,,,,,,,
naio,gumorni,Albizia,saman,,,,,,,,,,
Myoporum,tamalini,saman,naio,,,,,,,,,,
sandwicense,trongkonmames,naio,Myoporum,,,,,,,,,,
nanea,Samanea,Myoporum,sandwicense,,,,,,,,,,
Vigna,saman,sandwicense,nanea,,,,,,,,,,
marina,syn,nanea,Vigna,,,,,,,,,,
Napiergrass,Albizia,Vigna,marina,,,,,,,,,,
Pennisetum,saman,marina,Napiergrass,,,,,,,,,,
purpureum,naio,Napiergrass,Pennisetum,,,,,,,,,,
cv,Myoporum,Pennisetum,purpureum,,,,,,,,,,
Mott,sandwicense,purpureum,cv,,,,,,,,,,
narrowleaf,nanea,cv,Mott,,,,,,,,,,
carpetgrass,Vigna,Mott,narrowleaf,,,,,,,,,,
Australian,marina,narrowleaf,carpetgrass,,,,,,,,,,
carpetgrass,Napiergrass,carpetgrass,Australian,,,,,,,,,,
Axonopus,Pennisetum,Australian,carpetgrass,,,,,,,,,,
affinis,purpureum,carpetgrass,Axonopus,,,,,,,,,,
syn,cv,Axonopus,affinis,,,,,,,,,,
Axonopus,Mott,affinis,syn,,,,,,,,,,
fissifolius,narrowleaf,syn,Axonopus,,,,,,,,,,
naupaka,carpetgrass,Axonopus,fissifolius,,,,,,,,,,
nanaso,Australian,fissifolius,naupaka,,,,,,,,,,
Scaevola,carpetgrass,naupaka,nanaso,,,,,,,,,,
sericea,Axonopus,nanaso,Scaevola,,,,,,,,,,
neem,affinis,Scaevola,sericea,,,,,,,,,,
Azadirachta,syn,sericea,neem,,,,,,,,,,
indica,Axonopus,neem,Azadirachta,,,,,,,,,,
noni,fissifolius,Azadirachta,indica,,,,,,,,,,
lada,naupaka,indica,noni,,,,,,,,,,
nonu,nanaso,noni,lada,,,,,,,,,,
kesengel,Scaevola,lada,nonu,,,,,,,,,,
i,sericea,nonu,kesengel,,,,,,,,,,
nen,neem,kesengel,i,,,,,,,,,,
mangal,Azadirachta,i,nen,,,,,,,,,,
wag,indica,nen,mangal,,,,,,,,,,
Indian,noni,mangal,wag,,,,,,,,,,
mulberry,lada,wag,Indian,,,,,,,,,,
Morinda,nonu,Indian,mulberry,,,,,,,,,,
citrifolia,kesengel,mulberry,Morinda,,,,,,,,,,
Norfolk,i,Morinda,citrifolia,,,,,,,,,,
Island,nen,citrifolia,Norfolk,,,,,,,,,,
pine,mangal,Norfolk,Island,,,,,,,,,,
Araucaria,wag,Island,pine,,,,,,,,,,
heterophylla,Indian,pine,Araucaria,,,,,,,,,,
Oahu,mulberry,Araucaria,heterophylla,,,,,,,,,,
white,Morinda,heterophylla,Oahu,,,,,,,,,,
hibiscus,citrifolia,Oahu,white,,,,,,,,,,
Hibiscus,Norfolk,white,hibiscus,,,,,,,,,,
arnottianus,Island,hibiscus,Hibiscus,,,,,,,,,,
var,pine,Hibiscus,arnottianus,,,,,,,,,,
punaluensis,Araucaria,arnottianus,var,,,,,,,,,,
oats,heterophylla,var,punaluensis,,,,,,,,,,
Avena,Oahu,punaluensis,oats,,,,,,,,,,
sativa,white,oats,Avena,,,,,,,,,,
ohai,hibiscus,Avena,sativa,,,,,,,,,,
Sesbania,Hibiscus,sativa,ohai,,,,,,,,,,
tomentosa,arnottianus,ohai,Sesbania,,,,,,,,,,
ohai,var,Sesbania,tomentosa,,,,,,,,,,
Sesbania,punaluensis,tomentosa,ohai,,,,,,,,,,
tomentosa,oats,ohai,Sesbania,,,,,,,,,,
f,Avena,Sesbania,tomentosa,,,,,,,,,,
arborea,sativa,tomentosa,f,,,,,,,,,,
ohelo,ohai,f,arborea,,,,,,,,,,
Vaccinium,Sesbania,arborea,ohelo,,,,,,,,,,
reticulatum,tomentosa,ohelo,Vaccinium,,,,,,,,,,
ohelo,ohai,Vaccinium,reticulatum,,,,,,,,,,
kai,Sesbania,reticulatum,ohelo,,,,,,,,,,
Lycium,tomentosa,ohelo,kai,,,,,,,,,,
sandwicense,f,kai,Lycium,,,,,,,,,,
ohelo,arborea,Lycium,sandwicense,,,,,,,,,,
papa,ohelo,sandwicense,ohelo,,,,,,,,,,
Fragaria,Vaccinium,ohelo,papa,,,,,,,,,,
chiloensis,reticulatum,papa,Fragaria,,,,,,,,,,
ohi,ohelo,Fragaria,chiloensis,,,,,,,,,,
a,kai,chiloensis,ohi,,,,,,,,,,
lehua,Lycium,ohi,a,,,,,,,,,,
Metrosideros,sandwicense,a,lehua,,,,,,,,,,
polymorpha,ohelo,lehua,Metrosideros,,,,,,,,,,
oleander,papa,Metrosideros,polymorpha,,,,,,,,,,
oliana,Fragaria,polymorpha,oleander,,,,,,,,,,
Nerium,chiloensis,oleander,oliana,,,,,,,,,,
oleander,ohi,oliana,Nerium,,,,,,,,,,
orchardgrass,a,Nerium,oleander,,,,,,,,,,
Dactylis,lehua,oleander,orchardgrass,,,,,,,,,,
glomerata,Metrosideros,orchardgrass,Dactylis,,,,,,,,,,
oyster,polymorpha,Dactylis,glomerata,,,,,,,,,,
plant,oleander,glomerata,oyster,,,,,,,,,,
Tradescantia,oliana,oyster,plant,,,,,,,,,,
spathacea,Nerium,plant,Tradescantia,,,,,,,,,,
panax,oleander,Tradescantia,spathacea,,,,,,,,,,
tanitani,orchardgrass,spathacea,panax,,,,,,,,,,
Polyscias,Dactylis,panax,tanitani,,,,,,,,,,
guilfoylei,glomerata,tanitani,Polyscias,,,,,,,,,,
syn,oyster,Polyscias,guilfoylei,,,,,,,,,,
Nothopanax,plant,guilfoylei,syn,,,,,,,,,,
guilfoylei,Tradescantia,syn,Nothopanax,,,,,,,,,,
panini,spathacea,Nothopanax,guilfoylei,,,,,,,,,,
prickly,panax,guilfoylei,panini,,,,,,,,,,
pear,tanitani,panini,prickly,,,,,,,,,,
cactus,Polyscias,prickly,pear,,,,,,,,,,
Opuntia,guilfoylei,pear,cactus,,,,,,,,,,
ficusindica,syn,cactus,Opuntia,,,,,,,,,,
paspalum,Nothopanax,Opuntia,ficusindica,,,,,,,,,,
Paspalum,guilfoylei,ficusindica,paspalum,,,,,,,,,,
hieronymii,panini,paspalum,Paspalum,,,,,,,,,,
cv,prickly,Paspalum,hieronymii,,,,,,,,,,
Tropic,pear,hieronymii,cv,,,,,,,,,,
Lalo,cactus,cv,Tropic,,,,,,,,,,
pa,Opuntia,Tropic,Lalo,,,,,,,,,,
uohi,ficusindica,Lalo,pa,,,,,,,,,,
iaka,paspalum,pa,uohi,,,,,,,,,,
Jacquemontia,Paspalum,uohi,iaka,,,,,,,,,,
ovalifolia,hieronymii,iaka,Jacquemontia,,,,,,,,,,
subsp,cv,Jacquemontia,ovalifolia,,,,,,,,,,
sandwicensis,Tropic,ovalifolia,subsp,,,,,,,,,,
perennial,Lalo,subsp,sandwicensis,,,,,,,,,,
ryegrass,pa,sandwicensis,perennial,,,,,,,,,,
Lolium,uohi,perennial,ryegrass,,,,,,,,,,
perenne,iaka,ryegrass,Lolium,,,,,,,,,,
pigeonpea,Jacquemontia,Lolium,perenne,,,,,,,,,,
Cajanus,ovalifolia,perenne,pigeonpea,,,,,,,,,,
cajan,subsp,pigeonpea,Cajanus,,,,,,,,,,
piligrass,sandwicensis,Cajanus,cajan,,,,,,,,,,
tanglehead,perennial,cajan,piligrass,,,,,,,,,,
Hetropogon,ryegrass,piligrass,tanglehead,,,,,,,,,,
contortus,Lolium,tanglehead,Hetropogon,,,,,,,,,,
pink,perenne,Hetropogon,contortus,,,,,,,,,,
tecoma,pigeonpea,contortus,pink,,,,,,,,,,
Tabebuia,Cajanus,pink,tecoma,,,,,,,,,,
heterophylla,cajan,tecoma,Tabebuia,,,,,,,,,,
plumeria,piligrass,Tabebuia,heterophylla,,,,,,,,,,
Plumeria,tanglehead,heterophylla,plumeria,,,,,,,,,,
obtusa,Hetropogon,plumeria,Plumeria,,,,,,,,,,
PMN,contortus,Plumeria,obtusa,,,,,,,,,,
Hybrid,pink,obtusa,PMN,,,,,,,,,,
Napiergrass,tecoma,PMN,Hybrid,,,,,,,,,,
Pennisetum,Tabebuia,Hybrid,Napiergrass,,,,,,,,,,
purpureum,heterophylla,Napiergrass,Pennisetum,,,,,,,,,,
x,plumeria,Pennisetum,purpureum,,,,,,,,,,
Pennisetum,Plumeria,purpureum,x,,,,,,,,,,
glaucum,obtusa,x,Pennisetum,,,,,,,,,,
podocarpus,PMN,Pennisetum,glaucum,,,,,,,,,,
Podocarpus,Hybrid,glaucum,podocarpus,,,,,,,,,,
sp,Napiergrass,podocarpus,Podocarpus,,,,,,,,,,
pohinahina,Pennisetum,Podocarpus,sp,,,,,,,,,,
beach,purpureum,sp,pohinahina,,,,,,,,,,
vitex,x,pohinahina,beach,,,,,,,,,,
Vitex,Pennisetum,beach,vitex,,,,,,,,,,
rotundifolia,glaucum,vitex,Vitex,,,,,,,,,,
syn,podocarpus,Vitex,rotundifolia,,,,,,,,,,
Vitex,Podocarpus,rotundifolia,syn,,,,,,,,,,
ovata,sp,syn,Vitex,,,,,,,,,,
pohuehue,pohinahina,Vitex,ovata,,,,,,,,,,
beach,beach,ovata,pohuehue,,,,,,,,,,
morning,vitex,pohuehue,beach,,,,,,,,,,
glory,Vitex,beach,morning,,,,,,,,,,
Ipomea,rotundifolia,morning,glory,,,,,,,,,,
pescaprae,syn,glory,Ipomea,,,,,,,,,,
Portuguese,Vitex,Ipomea,pescaprae,,,,,,,,,,
Mexican,ovata,pescaprae,Portuguese,,,,,,,,,,
cypress,pohuehue,Portuguese,Mexican,,,,,,,,,,
Cupressus,beach,Mexican,cypress,,,,,,,,,,
lusitanica,morning,cypress,Cupressus,,,,,,,,,,
poumuli,glory,Cupressus,lusitanica,,,,,,,,,,
Flueggea,Ipomea,lusitanica,poumuli,,,,,,,,,,
flexuosa,pescaprae,poumuli,Flueggea,,,,,,,,,,
Puerto,Portuguese,Flueggea,flexuosa,,,,,,,,,,
Rican,Mexican,flexuosa,Puerto,,,,,,,,,,
stargrass,cypress,Puerto,Rican,,,,,,,,,,
Cynodon,Cupressus,Rican,stargrass,,,,,,,,,,
nlemfuensis,lusitanica,stargrass,Cynodon,,,,,,,,,,
cv,poumuli,Cynodon,nlemfuensis,,,,,,,,,,
Florico,Flueggea,nlemfuensis,cv,,,,,,,,,,
pukiawe,flexuosa,cv,Florico,,,,,,,,,,
Styphelia,Puerto,Florico,pukiawe,,,,,,,,,,
tameiameiae,Rican,pukiawe,Styphelia,,,,,,,,,,
rainbow,stargrass,Styphelia,tameiameiae,,,,,,,,,,
shower,Cynodon,tameiameiae,rainbow,,,,,,,,,,
tree,nlemfuensis,rainbow,shower,,,,,,,,,,
Cassia,cv,shower,tree,,,,,,,,,,
x,Florico,tree,Cassia,,,,,,,,,,
nealii,pukiawe,Cassia,x,,,,,,,,,,
Rhodesgrass,Styphelia,x,nealii,,,,,,,,,,
Chloris,tameiameiae,nealii,Rhodesgrass,,,,,,,,,,
gayana,rainbow,Rhodesgrass,Chloris,,,,,,,,,,
rice,shower,Chloris,gayana,,,,,,,,,,
Oryza,tree,gayana,rice,,,,,,,,,,
sativa,Cassia,rice,Oryza,,,,,,,,,,
riverredgum,x,Oryza,sativa,,,,,,,,,,
eucalyptus,nealii,sativa,riverredgum,,,,,,,,,,
Eucalyptus,Rhodesgrass,riverredgum,eucalyptus,,,,,,,,,,
camaldulensis,Chloris,eucalyptus,Eucalyptus,,,,,,,,,,
rosemoss,gayana,Eucalyptus,camaldulensis,,,,,,,,,,
Portulaca,rice,camaldulensis,rosemoss,,,,,,,,,,
grandiflora,Oryza,rosemoss,Portulaca,,,,,,,,,,
sea,sativa,Portulaca,grandiflora,,,,,,,,,,
grape,riverredgum,grandiflora,sea,,,,,,,,,,
Coccolba,eucalyptus,sea,grape,,,,,,,,,,
uvifera,Eucalyptus,grape,Coccolba,,,,,,,,,,
seashore,camaldulensis,Coccolba,uvifera,,,,,,,,,,
paspalum,rosemoss,uvifera,seashore,,,,,,,,,,
Paspalum,Portulaca,seashore,paspalum,,,,,,,,,,
vaginatum,grandiflora,paspalum,Paspalum,,,,,,,,,,
sheep,sea,Paspalum,vaginatum,,,,,,,,,,
sorrel,grape,vaginatum,sheep,,,,,,,,,,
Rumex,Coccolba,sheep,sorrel,,,,,,,,,,
acetosella,uvifera,sorrel,Rumex,,,,,,,,,,
shell,seashore,Rumex,acetosella,,,,,,,,,,
ginger,paspalum,acetosella,shell,,,,,,,,,,
Alpinia,Paspalum,shell,ginger,,,,,,,,,,
zerumbet,vaginatum,ginger,Alpinia,,,,,,,,,,
shrubby,sheep,Alpinia,zerumbet,,,,,,,,,,
stylo,sorrel,zerumbet,shrubby,,,,,,,,,,
Stylosanthes,Rumex,shrubby,stylo,,,,,,,,,,
scabra,acetosella,stylo,Stylosanthes,,,,,,,,,,
cv,shell,Stylosanthes,scabra,,,,,,,,,,
Seca,ginger,scabra,cv,,,,,,,,,,
signalgrass,Alpinia,cv,Seca,,,,,,,,,,
Urochloa,zerumbet,Seca,signalgrass,,,,,,,,,,
brizantha,shrubby,signalgrass,Urochloa,,,,,,,,,,
syn,stylo,Urochloa,brizantha,,,,,,,,,,
Brachiaria,Stylosanthes,brizantha,syn,,,,,,,,,,
brizantha,scabra,syn,Brachiaria,,,,,,,,,,
smallcone,cv,Brachiaria,brizantha,,,,,,,,,,
ironwood,Seca,brizantha,smallcone,,,,,,,,,,
Casuarina,signalgrass,smallcone,ironwood,,,,,,,,,,
cunninghamiana,Urochloa,ironwood,Casuarina,,,,,,,,,,
soft,brizantha,Casuarina,cunninghamiana,,,,,,,,,,
rush,syn,cunninghamiana,soft,,,,,,,,,,
Juncus,Brachiaria,soft,rush,,,,,,,,,,
effusus,brizantha,rush,Juncus,,,,,,,,,,
sorghum,smallcone,Juncus,effusus,,,,,,,,,,
x,ironwood,effusus,sorghum,,,,,,,,,,
sudangrass,Casuarina,sorghum,x,,,,,,,,,,
hybrid,cunninghamiana,x,sudangrass,,,,,,,,,,
Sorghum,soft,sudangrass,hybrid,,,,,,,,,,
bicolor,rush,hybrid,Sorghum,,,,,,,,,,
x,Juncus,Sorghum,bicolor,,,,,,,,,,
Sorghum,effusus,bicolor,x,,,,,,,,,,
bicolor,sorghum,x,Sorghum,,,,,,,,,,
varsudanese,x,Sorghum,bicolor,,,,,,,,,,
soybean,sudangrass,bicolor,varsudanese,,,,,,,,,,
Glycine,hybrid,varsudanese,soybean,,,,,,,,,,
max,Sorghum,soybean,Glycine,,,,,,,,,,
spike,bicolor,Glycine,max,,,,,,,,,,
rush,x,max,spike,,,,,,,,,,
Eleocharis,Sorghum,spike,rush,,,,,,,,,,
geniculata,bicolor,rush,Eleocharis,,,,,,,,,,
St,varsudanese,Eleocharis,geniculata,,,,,,,,,,
Augustinegrass,soybean,geniculata,St,,,,,,,,,,
Stenotaphrum,Glycine,St,Augustinegrass,,,,,,,,,,
secondatum,max,Augustinegrass,Stenotaphrum,,,,,,,,,,
sunn,spike,Stenotaphrum,secondatum,,,,,,,,,,
hemp,rush,secondatum,sunn,,,,,,,,,,
Crotalaria,Eleocharis,sunn,hemp,,,,,,,,,,
juncea,geniculata,hemp,Crotalaria,,,,,,,,,,
cv,St,Crotalaria,juncea,,,,,,,,,,
Tropic,Augustinegrass,juncea,cv,,,,,,,,,,
Sun,Stenotaphrum,cv,Tropic,,,,,,,,,,
swamp,secondatum,Tropic,Sun,,,,,,,,,,
mahogany,sunn,Sun,swamp,,,,,,,,,,
Eucalyptus,hemp,swamp,mahogany,,,,,,,,,,
robusta,Crotalaria,mahogany,Eucalyptus,,,,,,,,,,
sweet,juncea,Eucalyptus,robusta,,,,,,,,,,
clover,cv,robusta,sweet,,,,,,,,,,
Melitotus,Tropic,sweet,clover,,,,,,,,,,
sp,Sun,clover,Melitotus,,,,,,,,,,
tall,swamp,Melitotus,sp,,,,,,,,,,
erythrina,mahogany,sp,tall,,,,,,,,,,
Erythrina,Eucalyptus,tall,erythrina,,,,,,,,,,
variegata,robusta,erythrina,Erythrina,,,,,,,,,,
cv,sweet,Erythrina,variegata,,,,,,,,,,
Tropic,clover,variegata,cv,,,,,,,,,,
Coral,Melitotus,cv,Tropic,,,,,,,,,,
tamarind,sp,Tropic,Coral,,,,,,,,,,
Tamarindus,tall,Coral,tamarind,,,,,,,,,,
indica,erythrina,tamarind,Tamarindus,,,,,,,,,,
threeflower,Erythrina,Tamarindus,indica,,,,,,,,,,
beggarweed,variegata,indica,threeflower,,,,,,,,,,
Desmodium,cv,threeflower,beggarweed,,,,,,,,,,
triflorum,Tropic,beggarweed,Desmodium,,,,,,,,,,
ti,Coral,Desmodium,triflorum,,,,,,,,,,
Cordyline,tamarind,triflorum,ti,,,,,,,,,,
fruticosa,Tamarindus,ti,Cordyline,,,,,,,,,,
uhaloa,indica,Cordyline,fruticosa,,,,,,,,,,
escobilla,threeflower,fruticosa,uhaloa,,,,,,,,,,
sabana,beggarweed,uhaloa,escobilla,,,,,,,,,,
waltheria,Desmodium,escobilla,sabana,,,,,,,,,,
Waltheria,triflorum,sabana,waltheria,,,,,,,,,,
indica,ti,waltheria,Waltheria,,,,,,,,,,
ulei,Cordyline,Waltheria,indica,,,,,,,,,,
Osteomeles,fruticosa,indica,ulei,,,,,,,,,,
anthyllidifolia,uhaloa,ulei,Osteomeles,,,,,,,,,,
trailing,escobilla,Osteomeles,anthyllidifolia,,,,,,,,,,
African,sabana,anthyllidifolia,trailing,,,,,,,,,,
daisy,waltheria,trailing,African,,,,,,,,,,
Osteospermum,Waltheria,African,daisy,,,,,,,,,,
fruticosum,indica,daisy,Osteospermum,,,,,,,,,,
vetch,ulei,Osteospermum,fruticosum,,,,,,,,,,
woolypod,Osteomeles,fruticosum,vetch,,,,,,,,,,
Vicia,anthyllidifolia,vetch,woolypod,,,,,,,,,,
villosa,trailing,woolypod,Vicia,,,,,,,,,,
ssp,African,Vicia,villosa,,,,,,,,,,
varia,daisy,villosa,ssp,,,,,,,,,,
cv,Osteospermum,ssp,varia,,,,,,,,,,
Lana,fruticosum,varia,cv,,,,,,,,,,
vetivergrass,vetch,cv,Lana,,,,,,,,,,
Chrysopogon,woolypod,Lana,vetivergrass,,,,,,,,,,
zizanioides,Vicia,vetivergrass,Chrysopogon,,,,,,,,,,
syn,villosa,Chrysopogon,zizanioides,,,,,,,,,,
Vetiveria,ssp,zizanioides,syn,,,,,,,,,,
zizanioides,varia,syn,Vetiveria,,,,,,,,,,
cv,cv,Vetiveria,zizanioides,,,,,,,,,,
Sunshine,Lana,zizanioides,cv,,,,,,,,,,
wheat,vetivergrass,cv,Sunshine,,,,,,,,,,
Triticum,Chrysopogon,Sunshine,wheat,,,,,,,,,,
aestivum,zizanioides,wheat,Triticum,,,,,,,,,,
white,syn,Triticum,aestivum,,,,,,,,,,
clover,Vetiveria,aestivum,white,,,,,,,,,,
Trifolium,zizanioides,white,clover,,,,,,,,,,
repens,cv,clover,Trifolium,,,,,,,,,,
wild,Sunshine,Trifolium,repens,,,,,,,,,,
cane,wheat,repens,wild,,,,,,,,,,
hybrid,Triticum,wild,cane,,,,,,,,,,
Saccharum,aestivum,cane,hybrid,,,,,,,,,,
hybrid,white,hybrid,Saccharum,,,,,,,,,,
clone,clover,Saccharum,hybrid,,,,,,,,,,
Moentai,Trifolium,hybrid,clone,,,,,,,,,,
wiliwili,repens,clone,Moentai,,,,,,,,,,
Erythrina,wild,Moentai,wiliwili,,,,,,,,,,
sandwicensis,cane,wiliwili,Erythrina,,,,,,,,,,
zoysia,hybrid,Erythrina,sandwicensis,,,,,,,,,,
Zoysia,Saccharum,sandwicensis,zoysia,,,,,,,,,,
japonica,hybrid,zoysia,Zoysia,,,,,,,,,,
Cyperus,clone,Zoysia,japonica,,,,,,,,,,
polystachyos,Moentai,japonica,Cyperus,,,,,,,,,,
Fimbristylis,wiliwili,Cyperus,polystachyos,,,,,,,,,,
littoralis,Erythrina,polystachyos,Fimbristylis,,,,,,,,,,
Scleria,sandwicensis,Fimbristylis,littoralis,,,,,,,,,,
sp,zoysia,littoralis,Scleria,,,,,,,,,,
,Zoysia,Scleria,,,,,,,,,,,
,japonica,sp,,,,,,,,,,,
,Cyperus,,,,,,,,,,,,
,polystachyos,,,,,,,,,,,,
,Fimbristylis,,,,,,,,,,,,
,littoralis,,,,,,,,,,,,
,Scleria,,,,,,,,,,,,
,sp,,,,,,,,,,,,
